uid	id	alt	len	motif_evalue	n_tested	total_sites	neg_total_sites
motif_00067	MA0510.2	RFX5	16	0.0e+000	242	408	18
motif_00068	MA0511.2	RUNX2	9	0.0e+000	245	3630	210
motif_00069	MA0513.1	SMAD2::SMAD3::SMAD4	13	0.0e+000	243	3568	204
motif_00070	MA0516.1	SP2	15	0.0e+000	242	3864	232
motif_00071	MA0521.1	Tcf12	11	0.0e+000	244	2267	133
motif_00072	MA0522.2	TCF3	10	0.0e+000	245	3386	194
motif_00073	MA0526.1	USF2	11	0.0e+000	244	1815	101
motif_00074	MA0527.1	ZBTB33	15	0.0e+000	242	1246	84
motif_00075	MA0591.1	Bach1::Mafk	15	0.0e+000	242	1073	58
motif_00076	MA0595.1	SREBF1	10	0.0e+000	245	1669	90
motif_00077	MA0596.1	SREBF2	10	0.0e+000	245	1897	109
motif_00078	MA0598.2	EHF	12	0.0e+000	244	2800	171
motif_00079	MA0599.1	KLF5	10	0.0e+000	245	3661	205
motif_00080	MA0600.2	RFX2	16	0.0e+000	242	289	18
motif_00081	MA0603.1	Arntl	10	0.0e+000	245	3108	188
motif_00082	MA0604.1	Atf1	8	0.0e+000	246	1977	114
motif_00083	MA0605.1	Atf3	8	0.0e+000	246	2963	170
motif_00084	MA0607.1	Bhlha15	8	0.0e+000	246	1868	105
motif_00085	MA0608.1	Creb3l2	9	0.0e+000	245	946	57
motif_00086	MA0609.1	Crem	10	0.0e+000	245	717	43
motif_00087	MA0611.1	Dux	8	0.0e+000	246	1536	68
motif_00088	MA0615.1	Gmeb1	17	0.0e+000	241	2520	155
motif_00089	MA0617.1	Id2	8	0.0e+000	246	501	30
motif_00090	MA0620.1	Mitf	10	0.0e+000	245	4928	279
motif_00091	MA0622.1	Mlxip	8	0.0e+000	246	501	30
motif_00092	MA0632.1	Tcfl5	10	0.0e+000	245	3145	186
motif_00093	MA0636.1	BHLHE41	10	0.0e+000	245	471	34
motif_00094	MA0638.1	CREB3	14	0.0e+000	243	960	59
motif_00095	MA0640.1	ELF3	13	0.0e+000	243	1502	84
motif_00096	MA0641.1	ELF4	12	0.0e+000	244	1904	120
motif_00097	MA0645.1	ETV6	10	0.0e+000	245	4102	239
motif_00098	MA0649.1	HEY2	10	0.0e+000	245	2738	165
motif_00099	MA0655.1	JDP2	9	0.0e+000	245	1225	77
motif_00100	MA0656.1	JDP2(var.2)	12	0.0e+000	244	380	31
motif_00101	MA0657.1	KLF13	18	0.0e+000	241	451	18
motif_00102	MA0663.1	MLX	10	0.0e+000	245	834	46
motif_00103	MA0664.1	MLXIPL	10	0.0e+000	245	2261	126
motif_00104	MA0671.1	NFIX	9	0.0e+000	245	5232	300
motif_00105	MA0684.1	RUNX3	10	0.0e+000	245	3922	231
motif_00106	MA0685.1	SP4	17	0.0e+000	241	1116	52
motif_00107	MA0686.1	SPDEF	11	0.0e+000	244	1774	108
motif_00108	MA0691.1	TFAP4	10	0.0e+000	245	1756	102
motif_00109	MA0692.1	TFEB	10	0.0e+000	245	3248	178
motif_00110	MA0695.1	ZBTB7C	12	0.0e+000	244	4510	265
motif_00111	MA0696.1	ZIC1	14	0.0e+000	243	884	59
motif_00112	MA0697.1	ZIC3	15	0.0e+000	242	1436	85
motif_00113	MA0698.1	ZBTB18	13	0.0e+000	243	2048	109
motif_00114	MA0705.1	Lhx8	8	0.0e+000	246	3119	159
motif_00115	MA0732.1	EGR3	15	0.0e+000	242	1026	64
motif_00116	MA0733.1	EGR4	16	0.0e+000	242	3141	189
motif_00117	MA0734.1	GLI2	12	0.0e+000	244	2705	154
motif_00118	MA0738.1	HIC2	9	0.0e+000	245	5115	295
motif_00119	MA0739.1	Hic1	9	0.0e+000	245	4793	280
motif_00120	MA0740.1	KLF14	14	0.0e+000	243	2101	105
motif_00121	MA0741.1	KLF16	11	0.0e+000	244	3699	220
motif_00122	MA0742.1	Klf12	15	0.0e+000	242	1763	97
motif_00123	MA0746.1	SP3	11	0.0e+000	244	4713	269
motif_00124	MA0747.1	SP8	12	0.0e+000	244	4181	236
motif_00125	MA0748.1	YY2	11	0.0e+000	244	3465	195
motif_00126	MA0749.1	ZBED1	13	0.0e+000	243	80	3
motif_00127	MA0750.1	ZBTB7A	12	0.0e+000	244	2854	174
motif_00128	MA0751.1	ZIC4	15	0.0e+000	242	3178	191
motif_00129	MA0753.1	ZNF740	10	0.0e+000	245	3444	200
motif_00130	MA0759.1	ELK3	10	0.0e+000	245	3728	216
motif_00131	MA0760.1	ERF	10	0.0e+000	245	3371	194
motif_00132	MA0761.1	ETV1	10	0.0e+000	245	4207	247
motif_00133	MA0762.1	ETV2	11	0.0e+000	244	2366	146
motif_00134	MA0763.1	ETV3	10	0.0e+000	245	4015	242
motif_00135	MA0764.1	ETV4	10	0.0e+000	245	4369	247
motif_00136	MA0765.1	ETV5	10	0.0e+000	245	4568	265
motif_00137	MA0766.1	GATA5	8	0.0e+000	246	4698	256
motif_00138	MA0797.1	TGIF2	12	0.0e+000	244	923	57
motif_00139	MA0801.1	MGA	8	0.0e+000	246	4334	246
motif_00140	MA0803.1	TBX15	8	0.0e+000	246	3244	177
motif_00141	MA0805.1	TBX1	8	0.0e+000	246	3027	156
motif_00142	MA0806.1	TBX4	8	0.0e+000	246	4773	274
motif_00143	MA0807.1	TBX5	8	0.0e+000	246	5199	295
motif_00144	MA0814.1	TFAP2C(var.2)	11	0.0e+000	244	3464	211
motif_00145	MA0816.1	Ascl2	10	0.0e+000	245	3569	198
motif_00146	MA0820.1	FIGLA	10	0.0e+000	245	4371	247
motif_00147	MA0823.1	HEY1	10	0.0e+000	245	1594	97
motif_00148	MA0824.1	ID4	10	0.0e+000	245	3828	220
motif_00149	MA0825.1	MNT	10	0.0e+000	245	2896	168
motif_00150	MA0828.1	SREBF2(var.2)	10	0.0e+000	245	954	53
motif_00151	MA0829.1	Srebf1(var.2)	10	0.0e+000	245	1218	73
motif_00152	MA0830.1	TCF4	10	0.0e+000	245	3347	190
motif_00153	MA0831.1	TFE3	10	0.0e+000	245	4179	243
motif_00154	MA0833.1	ATF4	13	0.0e+000	243	1148	66
motif_00155	MA0834.1	ATF7	14	0.0e+000	243	393	33
motif_00156	MA0835.1	BATF3	14	0.0e+000	243	128	12
motif_00157	MA0839.1	CREB3L1	14	0.0e+000	243	802	47
motif_00158	MA0840.1	Creb5	12	0.0e+000	244	504	36
motif_00159	MA0841.1	NFE2	11	0.0e+000	244	450	20
motif_00160	MA0842.1	NRL	11	0.0e+000	244	5152	290
motif_00161	MA0844.1	XBP1	14	0.0e+000	243	912	55
motif_00162	MA0862.1	GMEB2	8	0.0e+000	246	1938	113
motif_00163	MA0871.1	TFEC	10	0.0e+000	245	4150	245
motif_00164	MA0884.1	DUXA	13	0.0e+000	243	2828	144
motif_00165	MA1099.1	Hes1	10	0.0e+000	245	4579	273
